GEOID10,GEOID_MUNI,MUN_NAME,SQMI_LAND,CurPEV,FutPEV,CuPEV_SM,FuPEV_SM,FC_KD,FC_CE,FC_KD_SM,FC_CE_SM,FC_KPE,SC_KD,SC_CE,SC_KD_SM,SC_CE_SM,SC_KPE,PC_KD,PC_CE,PC_KD_SM,PC_CE_SM,PC_KPE,PASS_VEH,POP,HOUSUNIT,JOBS,CuPEVPop,FuPEVPop,CuPEV_HU,FuPEV_HU,PerCuPEV,PerFuPEV,FC_KD_JB,FC_CE_JB,SC_KD_JB,SC_CE_JB,PC_KD_JB,PC_CE_JB
420010309004,4200157472,Oxford Township,2.709763794,0,12,0.00000,4.42843,23.98567,2,8.851572172,0.738071711,11.9928349,18.37102487,1,6.779566878,0.369035856,18.37102487,5.061339895,1,1.867815898,0.369035856,5.061339895,640,1412,396,424,0.00,0.85,0.00,3.03,0,1.840490798,0.056569976,0.004716981,0.043327889,0.002358491,0.011937122,0.002358491
420010310001,4200115632,Conewago Township,3.092725012,2,33,0.64668,10.67020,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353,1912,693,574,0.10,1.73,0.29,4.76,0.14781966,2.384393064,0,0,0,0,0,0
420010311011,4200146376,Mcsherrystown Borough,0.224344273,1,10,4.45743,44.57435,28.63304,3,127.6299241,13.37230478,9.544347528,21.26760303,2,94.79895656,8.914869855,10.63380151,7.297080367,1,32.5262609,4.457434928,7.297080367,764,1060,508,318,0.09,0.94,0.20,1.97,0.130890052,1.293661061,0.090041014,0.009433962,0.066879255,0.006289308,0.022946794,0.003144654
420010311012,4200146376,Mcsherrystown Borough,0.287395528,0,12,0.00000,41.75430,124.47564,11,433.1161441,38.27477787,11.31596755,106.0037024,6,368.8425604,20.87715156,17.66728374,30.50459114,3,106.1414954,10.43857578,10.16819705,1033,1989,736,597,0.00,0.60,0.00,1.63,0,1.148325359,0.208501915,0.018425461,0.177560641,0.010050251,0.051096468,0.005025126
420010311013,4200115632,Conewago Township,0.649541206,1,30,1.53955,46.18645,409.52846,36,630.4888039,55.42373546,11.37579051,298.2467202,20,459.1652034,30.79096415,14.91233601,104.6775088,8,161.156071,12.31638566,13.0846886,1463,1880,822,564,0.05,1.60,0.12,3.65,0.0683527,2.010723861,0.726114288,0.063829787,0.528806242,0.035460993,0.18559842,0.014184397
420010311021,4200115632,Conewago Township,6.676492819,3,101,0.44934,15.12770,159.96493,15,23.95942445,2.246688554,10.66432835,133.8567971,8,20.04896894,1.198233896,16.73209964,41.70053734,4,6.245874663,0.599116948,10.42513433,2553,3352,1298,1006,0.09,3.01,0.23,7.78,0.117508813,3.809883063,0.15901086,0.014910537,0.133058446,0.007952286,0.041451826,0.003976143
420010312011,4200151640,Mount Joy Township,18.57945751,2,113,0.10765,6.08199,405.42698,27,21.82124952,1.453217888,15.01581401,419.5944688,18,22.58378472,0.968811925,23.31080382,164.8390242,11,8.8721118,0.592051732,14.98536584,1251,2042,809,613,0.10,5.53,0.25,13.97,0.159872102,8.296622614,0.661381694,0.044045677,0.684493424,0.029363785,0.268905423,0.017944535
420010312012,4200151640,Mount Joy Township,7.422764972,3,129,0.40416,17.37897,41.35889,4,5.571897606,0.53888275,10.33972159,40.91661097,2,5.51231396,0.269441375,20.45830549,11.32604365,1,1.525852388,0.134720687,11.32604365,1413,1638,722,491,0.18,7.88,0.42,17.87,0.212314225,8.382066277,0.084233984,0.00814664,0.08333322,0.00407332,0.023067299,0.00203666
420010312021,4200128936,Germany Township,10.90028673,2,82,0.18348,7.52274,57.21114,6,5.248590242,0.550444236,9.535189762,40.50558256,4,3.71601074,0.366962824,10.12639564,14.36823411,2,1.318151941,0.183481412,7.184117054,1973,2712,988,814,0.07,3.02,0.20,8.30,0.101368474,3.994154895,0.070283954,0.007371007,0.049761158,0.004914005,0.017651393,0.002457002
420010312031,4200178264,Union Township,17.54388982,1,71,0.05700,4.04699,32.95479,5,1.8784196,0.28499951,6.590957301,22.88640142,3,1.304522637,0.170999706,7.628800474,3.725168705,1,0.212334251,0.056999902,3.725168705,2413,3163,1158,949,0.03,2.24,0.09,6.13,0.041442188,2.859444221,0.034725802,0.005268704,0.024116334,0.003161222,0.003925362,0.001053741
420010313001,4200143944,Littlestown Borough,0.791114057,0,23,0.00000,29.07293,146.76200,13,185.5130712,16.43252307,11.2893845,105.5928147,7,133.4735664,8.848281654,15.08468781,29.84467986,3,37.72487618,3.792120709,9.948226619,1700,2832,1119,850,0.00,0.81,0.00,2.06,0,1.334881021,0.172661175,0.015294118,0.124226841,0.008235294,0.035111388,0.003529412
