MUN_NAME,GEOID_10,ACRES,USEACRE,EUPOPEM,EMIACRE,EMPOPE,EMSQACRE,EMSQPOPE
Medford Lakes Borough,3400545210,811.0955,0.6258,0.0320,51.8798,2.6554,51.8403,2.6533
Deptford Township,3401517710,11228.5111,0.3031,0.0749,26.0161,6.4324,25.7220,6.3597
West Conshohocken Borough,4209182736,562.9442,0.9748,0.0760,81.4553,6.3537,80.1724,6.2537
Lower Merion Township,4209144976,15276.3008,0.6283,0.0846,51.4314,6.9204,51.2507,6.8961
Lumberton Township,3400542060,8321.7961,0.1742,0.0762,14.9231,6.5248,14.7102,6.4317
Southampton Township,3400568610,28429.4041,0.0368,0.0745,3.2325,6.5446,2.4567,4.9738
Pemberton Borough,3400557480,402.9357,0.4372,0.0916,38.0400,7.9666,36.1360,7.5678
Camden City,3400710000,6693.2484,1.7580,0.0998,135.3542,7.6838,133.9841,7.6060
Merchantville Borough,3400745510,381.4936,1.0412,0.0766,85.1593,6.2645,83.4239,6.1369
Magnolia Borough,3400742630,625.8693,0.7850,0.0916,62.4414,7.2884,60.6897,7.0839
Runnemede Borough,3400765160,1358.2051,0.6822,0.0807,56.7172,6.7091,54.8083,6.4833
Somerdale Borough,3400768340,888.8535,0.7808,0.0886,62.5609,7.0964,60.7875,6.8953
Hightstown Borough,3402131620,807.5173,1.0094,0.0983,80.7224,7.8612,78.9909,7.6925
Barrington Borough,3400703250,1010.2555,0.8198,0.0851,66.6755,6.9186,66.6796,6.9190
Westville Borough,3401580120,870.9006,6.3981,0.9274,365.4608,52.9761,363.6012,52.7065
Tabernacle Township,3400572060,31669.4348,0.0217,0.0762,1.9940,7.0195,0.9281,3.2673
Woodbury City,3401582120,1341.4216,1.2353,0.0858,100.1014,6.9542,98.3943,6.8356
Gloucester Township,3400726760,14894.9467,0.5214,0.1131,40.9436,8.8838,40.7921,8.8509
Greenwich Township,3401528185,7479.3825,0.0647,0.0663,5.1931,5.3259,4.7270,4.8478
Malvern Borough,4202946792,821.3138,0.7442,0.1056,62.7901,8.9083,61.4160,8.7134
Nether Providence Township,4204553104,3025.3783,0.4156,0.0682,36.3569,5.9669,35.0569,5.7535
Radnor Township,4204563264,8822.4265,0.6002,0.0924,49.3624,7.5995,48.2710,7.4315
Ridley Township,4204564800,3453.6235,0.8297,0.0846,75.1876,7.6685,74.0983,7.5574
Burlington City,3400508920,2424.5687,0.5170,0.0837,42.7142,6.9181,40.8325,6.6133
Langhorne Borough,4201741392,327.9564,2.5139,0.2999,223.9290,26.7148,222.8764,26.5892
Bristol Borough,4201708760,1183.9634,1.0413,0.0840,89.2827,7.2008,89.2345,7.1969
Hulmeville Borough,4201736192,257.3781,0.3249,0.0669,28.8975,5.9501,28.5672,5.8821
Bristol Township,4201708768,10972.9425,0.6293,0.0894,55.2003,7.8405,55.1677,7.8359
National Park Borough,3401549680,928.4388,0.2665,0.0722,23.2195,6.2869,21.4376,5.8045
Yeadon Borough,4204586968,1023.7804,0.9122,0.0653,75.9427,5.4351,75.0694,5.3726
Colwyn Borough,4204515432,167.0100,0.8795,0.0495,77.7756,4.3735,77.4594,4.3557
Darby Borough,4204518152,539.9802,1.5121,0.0558,131.2412,4.8400,130.2135,4.8021
East Lansdowne Borough,4204521384,131.3305,1.4022,0.0554,120.0278,4.7437,118.9242,4.7001
Lansdowne Borough,4204541440,754.4135,1.1978,0.0680,101.7175,5.7745,100.5634,5.7090
Haverford Township,4204533144,6352.2951,0.7301,0.0702,61.4173,5.9085,60.6298,5.8328
Rutledge Borough,4204566928,91.4776,0.6533,0.0645,55.8850,5.5208,54.7856,5.4122
Robbinsville Township,3402163850,13160.5161,0.1455,0.0211,17.3711,2.5187,16.7598,2.4300
Trenton City,3402174000,5270.0907,2.2504,0.1274,169.3126,9.5845,167.6863,9.4924
Morrisville Borough,4201751144,1257.8700,1.1016,0.1204,89.0854,9.7374,88.9818,9.7261
Lower Makefield Township,4201744968,11718.8712,0.2767,0.0731,24.7484,6.5369,24.5672,6.4891
